"Doyle_ A_SCANDAL_IN_BOHEMIA" "Doyle_hound_of_the_baskervilles" "Doyle_sign_of_the_four" "Doyle_study_in_scarlett" "Doyle_THE_VALLEY_OF_FEAR" "gaiman_study_in_emerald" "lovecraft__Beyond_the_Wall_of_Sleep" "lovecraft_At_the_Mountains_of_Madness" "lovecraft_Azathoth" "lovecraft_Celephais" "lovecraft_History_of_the_Necronomicon" "lovecraft_The_dunwich_terror"
"who" 0.343210159020707 0.249538354045017 0.179749715585893 0.267137553201123 0.281117696867062 0.387451568553931 0.230627306273063 0.230627306273063 0.230627306273063 0.230627306273063 0.230627306273063 0.230627306273063
"holmes" 0.549136254433131 0.319409093177621 0.311717861205916 0.221860001811102 0.25571549534293 0 0 0 0 0 0 0
"can" 0.102963047706212 0.237893230856249 0.266211604095563 0.142624286878566 0.333615580016935 0.224971878515186 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838
"some" 0.148724402242306 0.234566052802316 0.25028441410694 0.233179389658607 0.279424216765453 0.112485939257593 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144
"up" 0.366090836288754 0.204621450316914 0.318543799772469 0.301095716743638 0.206604572396274 0.237470316210474 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125
"then" 0.400411852190825 0.25286553209895 0.22070534698521 0.190165715838087 0.252328535139712 0.424946881639795 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251 0.0922509225092251
"well" 0.171605079510354 0.209612217397814 0.232081911262799 0.187901838268586 0.374259102455546 0.0999875015623047 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188
"very" 0.251687449948518 0.316081915123688 0.25028441410694 0.181110205560083 0.230313293818798 0.0749906261717285 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188
"go" 0.102963047706212 0.24288399793715 0.238907849829352 0.221860001811102 0.211685012701101 0.149981252343457 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531 0.115313653136531
"into" 0.343210159020707 0.182994792966346 0.21160409556314 0.224123879380603 0.194750211685013 0.26246719160105 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756
"more" 0.183045418144377 0.227911696694449 0.17292377701934 0.190165715838087 0.191363251481795 0.0999875015623047 0.276752767527675 0.276752767527675 0.276752767527675 0.276752767527675 0.276752767527675 0.276752767527675
"take" 0.217366434046448 0.171349669777578 0.234357224118316 0.185637960699085 0.233700254022015 0.224971878515186 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125
"now" 0.194485756778401 0.194639916155113 0.22070534698521 0.192429593407589 0.19813717188823 0.149981252343457 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188 0.0691881918819188
"make" 0.228806772680471 0.186321971020279 0.229806598407281 0.169790817712578 0.208298052497883 0.212473440819898 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125
